challenge_name,country,question_number,snippet
no national policy,AGO,2.3,Without a clear policy for sharing data and publications
publishing costs,AGO,2.3,high cost of journal subscriptions and closed databases
inadequate infrastructure,AGO,3.3,"Developing a dedicated network...requires substantial investment in infrastructure, which may be lacking"
lack of funding,AGO,3.3,Establishing and maintaining an NREN demands significant financial resources
poor coordination,AGO,3.3,Creating an NREN necessitates collaboration...which can be challenging to coordinate
inadequate infrastructure,AGO,4.3,challenges in developing robust scientific research infrastructure
lack of funding,AGO,4.3,constrained state budgets and scarce private financing
cultural resistance,AGO,5.2,Universities and research institutions are still in the early stages of adapting open science principles into academic evaluation frameworks
lack of awareness,AGO,5.2,Many researchers and institutions require further training and guidelines
lack of capacity building,AGO,5.2,Need for Awareness and Capacity Building
no national policy,AGO,5.2,no clear national policy mandating the integration of open science practices
no incentives,AGO,5.3,no government-led or institutional awards dedicated to recognizing open science efforts
no national policy,AGO,5.3,have not yet implemented structured policies to incentivize open science contributions
traditional metrics,AGO,5.3,"still prioritize traditional academic outputs, such as indexed journal publications"
lack of awareness,ARM,4.2,there are still no regular seminars for decision makers on that topic
lack of capacity building,ARM,4.2,no regular seminars for decision makers on that topic
nascent research ecosystem,ARM,4.2,OS implementation is relevantly new in Armenia
lack of capacity building,ARM,4.3,universities are still on their way to incorporate that topic
nascent research ecosystem,ARM,4.3,universities are still on their way to incorporate that topic in their respective curricula
predatory publishing,ARM,5.4,scientists had problems with identifying predatory or fraud journals
poor coordination,ARM,7.3,need for a more profound research of potential collaborators and partners
cultural resistance,ARM,8.1,Unwillingness to share data
inadequate infrastructure,ARM,8.1,Underdeveloped state of semantic analysis tools
lack of awareness,ARM,8.1,Low level of open science awareness among researchers
lack of expertise,ARM,8.1,lack of personnel capable to work with and maintain open science infrastructures
language barriers,ARM,8.1,Underdeveloped state of semantic analysis tools for Armenian language and insufficient state of language technologies for Armenian language
limited human resources,ARM,8.1,lack of personnel capable to work with and maintain open science infrastructures
no legal framework,ARM,8.1,Immature legislative basis for data protection
no national policy,ARM,8.1,Low prioritization of open science policy development in the R&D governance
security concerns,ARM,8.1,Immature legislative basis for data protection
traditional metrics,ARM,8.1,Insufficient use of diverse metrics in evaluation and review processes
competing priorities,AUT,2.8,Aligning the goals of private sector stakeholders with the principles of Open Science remains challenging
lack of funding,AUT,2.8,Limited financial...resources have hindered the development of structured initiatives
limited human resources,AUT,2.8,Limited...human resources have hindered the development of structured initiatives
no private sector engagement,AUT,2.8,no comprehensive framework specifically designed to facilitate equitable public-private partnerships
IP rights concerns,AUT,5.4,authors and repository operators...must consider various legal provisions...concerning copyright laws
plagiarism concerns,AUT,5.4,without rigorous peer review...risk of disseminating unverified or low-quality research
predatory publishing,AUT,5.4,Predatory publishing is an issue of considerable concern
publishing costs,AUT,5.4,the author-pays model of open access can be exclusionary
security concerns,AUT,5.4,The OSA Steering Board is currently working on the topic of foreign interference and open data
competing priorities,BEL,5.4,researchers experience conflicting expectations between Open Science and valorisation
lack of planning,BEL,5.4,reporting on the KPI's...entails a large administrative burden
publishing costs,BEL,5.4,an increase in APCs
security concerns,BEL,8.1,The rising attention to knowledge security may lead to more caution in the implementation
lack of capacity building,BEN,2.7,lack of training on open science practices
publishing costs,BEN,2.7,High fees for publishing in scientific journals are obstacles
no legal framework,BEN,3.4,establishing the appropriate regulatory framework
lack of awareness,BEN,5.3,Low awareness/information among stakeholders
competing priorities,BHR,2.3,increased focus on economic growth...supersede academic and research frameworks
lack of awareness,BHR,2.3,Lack of awareness of the open science principles
nascent research ecosystem,BHR,2.3,nascent research ecosystem
competing priorities,BHR,2.4,greater emphasis on economic growth and digital transformation over academic and research frameworks
lack of awareness,BHR,2.4,lack of awareness about open science principles
nascent research ecosystem,BHR,2.4,a nascent research ecosystem
lack of awareness,BHR,2.7,limited awareness and understanding of Open Science
no national policy,BHR,4.2,Open Science policies and strategies have not yet been implemented
lack of planning,BRA,4.3,curricular reforms are complex and take time
IP rights concerns,CAN,5.4,"Ownership, Control, Access and Possession (OCAP) principles by Indigenous communities"
predatory publishing,CAN,5.4,increase in predatory publishers
publishing costs,CAN,5.4,high article processing charges
traditional metrics,CAN,5.4,lack of recognition for open access publishing practices in the standards used to evaluate researchers
IP rights concerns,CAN,8.1,balance between openness and the protection of proprietary research and intellectual property
cultural resistance,CAN,8.1,individual researchers are motivated by prestige and impact associated with scientific journals published by for-profit corporations
geopolitical pressures,CAN,8.1,limitations on the open access dissemination of knowledge due to national security requirements
lack of funding,CAN,8.1,institutions in Canada are facing funding challenges
publishing costs,CAN,8.1,article processing charges or transformational subscription agreements
security concerns,CAN,8.1,Ensuring compliance with privacy laws and safeguarding sensitive data
competing priorities,CHE,4.2,competing priorities within policymaking bodies
lack of awareness,CHE,4.2,a gap in awareness in these communities regarding the importance of including Open Science
institutional fragmentation,CHE,8.1,Switzerland is a federal country with a decentralized culture of governance
poor coordination,CHE,8.1,requires that all actors in the Swiss research ecosystem engage with it and implement it at their level
university autonomy,CHE,8.1,"UNESCO Recommendation cannot be implemented as a single, top-down process"
cultural resistance,CIV,2.2,Researchers' reluctance toward open access
inadequate infrastructure,CIV,2.2,lack of appropriate infrastructure
institutional fragmentation,CIV,2.2,fragmentation of implementation initiatives
lack of awareness,CIV,2.2,Insufficient awareness-raising and advocacy
lack of funding,CIV,2.2,problem of funding...due to insufficient resources
no legal framework,CIV,2.2,absence of...national legal frameworks
no national policy,CIV,2.2,absence of a national policy and of national legal frameworks
