Country,Q1.4 Challenges in undertaking specific actions to incorporate the values and principles of OS,Q2.2.1 Challenges in establishing a legal framework that adresses OS,Q2.3.1 Challenges in establishing policy instruments to promote OS,Q2.4.1 Challenges in establishing institutional policies for OS,Q2.6.1 Challenges in establishing specific funding mechanisms for OS,Q2.7.1 Challenges in integrating OS within research funding mechanisms,Q2.8.1 Challenges in establishing PPP on OS,Q3.3 Challenges in establishing NRENs,Q3.4.5 Challenges in establishing OS infrastructures,Q4.1.1 Challenges related to OS capacity building in HE & research institutions,Q4.2.1 Challenges related to  OS capacity building for policymakers,Q4.3.1 Challenges in incorporating OS competencies framework in HE,Q4.5.1 Challenges in promoting science communication in line with OS values,Q5.1.1 Challenges in establishing initiatives to review research assessment to align with OS,Q5.2.1 Challenges in integrating OS in career evaluation & progression,Q5.3.1 Challenges in establishing initiatives to recognise and reward OS,Q5.4.1 Negative consequences,"Q6.1.7 Challenges in establishing innovative, participatory OS practices across the research cycle ",Q7.2.1 Challenges in establishing a strategy for cross-border OS collab,Q7.3.1  Challenges in establishing regional/intl. funding mechanisms for OS,Q8.1.1 External challenges for OS implementation ?
Albania,,,,,,,,,,,,,,,,,,,,,
Algeria,,,,,,,,,,,,,,,,,,,,,
Angola,,,"Angolan researchers face difficulties in publicising their work, reducing the impact and citation of their research. The lack of open access limits international
collaboration and Angola's insertion into the global scientific community. Researchers, students and institutions may find it difficult to access cutting-edge scientific articles, data and
publications due to the high cost of journal subscriptions and closed databases. Without easy access to research and scientific data, the productive sector may face difficulties in developing
new technologies and innovations. Without a clear policy for sharing data and publications, national science may have problems with credibility and reproducibility, hindering consistent
progress.",,,,,"Limited Infrastructure: Developing a dedicated network for research and education requires substantial investment in infrastructure, which may be lacking.  Funding Constraints: Establishing and maintaining an NREN demands significant financial resources, which might be a barrier. Coordination Among Institutions: Creating an NREN necessitates collaboration among various educational and research institutions, which can be challenging to coordinate. ",,,,"Limited Investment in Scientific Research: Due to constrained state budgets and scarce private financing, Angola faces challenges in developing robust scientific research infrastructure. This limitation affects the integration of comprehensive research components, including open science competencies, into higher education curricula.  ",,,Lack of Established Policies: There is no clear national policy mandating the integration of open science practices into research career assessments. Limited Institutional Adoption: Universities and research institutions are still in the early stages of adapting open science principles into academic evaluation frameworks. Need for Awareness and Capacity Building: Many researchers and institutions require further training and guidelines on how open science contributions can be formally recognized in career progression.,"Universities and research institutions have not yet implemented structured policies to incentivize open science contributions. Many researchers and institutions still prioritize traditional academic outputs, such as indexed journal publications, over open science practices. There are no government-led or institutional awards dedicated to recognizing open science efforts.",,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,
Armenia,,,,,,,,,,,"As OS implementation is relevantly new in Armenia, there are still no regular seminars for decision makers on that topic.","As OS implementation is relevantly new in Armenia, there universities are still on their way to
incorporate that topic in their respective curricula.",,,,,scientists had problems with identifying predatory or fraud journals which caused them to publish their results in such journals,,,need for a more profound research of potential collaborators and partners in this field,Low level of open science awareness among researchers and lack of proper understanding of benefits of opening research data and protocols. Interdisciplinary approaches aren’t practiced widely. Unwillingness to share data. Immature legislative basis for data protection. Insufficient use of diverse metrics in evaluation and review processes. The lack of personnel capable to work with and maintain open science infrastructures. Underdeveloped state of semantic analysis tools for Armenian language and insufficient state of language technologies for Armenian language. Low level of trust in open science opportunities and inadequate appreciation of open science practices. Low prioritization of open science policy development in the R&D governance.
Australia,,,,,,,,,,,,,,,,,,,,,
Austria,,,,,,,Lack of Dedicated Frameworks: There is no comprehensive framework specifically designed to facilitate equitable public-private partnerships on Open Science. Alignment of Objectives: Aligning the goals of private sector stakeholders with the principles of Open Science remains challenging. Resource Constraints: Limited financial and human resources have hindered the development of structured initiatives in this area.,,,,,,,,,,"Legal and Copyright Issues: Implementing open access strategies necessitates careful navigation of legal frameworks, particularly concerning copyright laws. Authors and repository operators in Austria must consider various legal provisions when making documents publicly accessible. For instance, while many publishers permit self-archiving, they often impose conditions such as embargo periods between the publication date and open online access. This underscores the importance of understanding and adhering to copyright regulations to avoid legal complications. Equity and Inclusion Concerns: Open Science aims to democratise access to research, but if not implemented thoughtfully, it may inadvertently exacerbate existing inequities. For example, the ""author-pays"" model of open access can be exclusionary, potentially limiting participation from researchers or institutions with fewer financial resources. This dynamic can lead to stratifications in publishing, where only well-funded researchers can afford to publish openly, thereby reinforcing existing disparities. Quality and Reproducibility Challenges: The push for openness must be balanced with maintaining research quality. Without rigorous peer review and quality control mechanisms, there is a risk of disseminating unverified or low-quality research. Moreover, while open science promotes transparency, it also necessitates robust frameworks to ensure that shared data and methodologies are reproducible and reliable. Addressing these challenges is crucial to prevent a potential crisis of trust in scientific research. Foreign Interference: The OSA Steering Board is currently working on the topic of foreign interference and open data at Austrian universities. Predatory publishing: Predatory publishing is an issue of considerable concern for academic institutions in Austria.",,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,"Lack of awareness of the open science principles, nascent research ecosystem, and increased focus on economic growth and digital transformation supersede academic and research frameworks aims. This appears to be a secondary concern, and is subsequent.","lack of awareness about open science principles, a nascent research ecosystem, and a greater emphasis on economic growth and digital transformation over academic and research frameworks. ",,limited awareness and understanding of Open Science,,,,,Open Science policies and strategies have not yet been implemented.,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,
Belgium,,,,,,,,,,,,,,,,,"The evaluation of the Open Science policy plan 2019-2024 in Flanders has shown that the reporting on the KPI’s included in the policy plan entails a large administrative burden, especially for smaller institutions. the evaluation showed that at times, researchers experience conflicting expectations between Open Science and valorisation. an increase in APCs.",,,,"The rising attention to knowledge security may lead to more caution in the implementation of (not only) UNESCO recommendations in Open Science. There is certainly complementarity between OS and Knowledge security, but it is important that related policies can be considered in a holistic perspective. Knowledge security can be seen as impeding the implementation of Open Science."
Benin,,,,,,"High fees for publishing in scientific journals are obstacles. There is a lack of training on open science practices, and open science standards and norms are inconsistent. ",,,establishing the appropriate regulatory framework ,,,,,,,Low awareness/information among stakeholders,,,,,
Brazil,,,,,,,,,,,,since curricular reforms are complex and take time,,,,,,,,,
