Country,"Section 1: Promoting a common understanding of open science, associated benefits, and challenges, as well as diverse paths to open science",Q1.1 UNESCO Recommendation promoted/shared,Q1.3 Awareness-raising activities,Section 2: Developing an enabling policy environment for open science,Q2.1 Open science in a national STI policy,Q2.2 Legal or regulatory framework,Q2.3 Policy instruments,Q2.4 National plan/roadmap,Q2.5 Institutional open science policies,Q2.6 Funding mechanisms,Q2.7  Open science in research funding,Q2.8 Public-private partnerships,Q2.9 National monitoring framework,Section 3: Investing in open science infrastructures and services,Q3.4 Open science infrastructure,"Q3.4.1 federated information technology infrastructure for open science, including highperformance
computing, cloud computing and data storage YES","Q3.4.2 community managed infrastructures, protocols and standards, for example those that
support bibliodiversity and engagement with society YES",Q3.4.3 platforms for exchanges and co-creation of knowledge between scientists and society YES,"Q3.4.4 community-based monitoring and information systems to complement national, regional
and global data and information systems YES",Q3.5 Hosting/funding of regional/international open science infrastructures,Q3.5.2 Accessibility of existing regional/intl. OS infras within the country,Q3.6 Multinational infrastructure collaborations,"Section 4: Investing in human resources, training, education, digital literacy and capacity building for open science",Q4.1 Capacity building in higher education/research  institutions,Q4.2 Capacity building for policymakers,Q4.3 Competency framework in higher education,Q4.4 Open educational resources,Q4.5 Open science-driven science communication initiatives,Section 5: Fostering a culture of open science and aligning incentives for open science,Q5.1 Research assessment review,Q5.2 Open science in career evaluation and progression,Q5.3 Rewards for open science,Q5.4 Unintended negative consequences,Section 6: Promoting innovative approaches for open science at different stages of the scientific process,Q6.1 Innovative open research practices,Q6.1.1 -	promotion of preprints,Q6.1.2 -	exploration of open peer-review practices,Q6.1.3 -	valuing and sharing of negative scientific results and associated data,"Q6.1.4 -	participatory methods that value inputs from societal actors, e.g. citizen science,
crowdsourcing scientific projects",Q6.1.5 -	development of participatory strategies for identifying the needs of marginalised communities and highlighting socially relevant issues to be incorporated into research agendas,Q6.1.6 -	promoting open innovation practices,"Section 7: Promoting international and multi-stakeholder cooperation in the context of open science and with view to reducing digital, technological and knowledge gaps",Q7.2 Cross-border  collaboration strategies,Q7.3 Discussions on the establishment of regional/international funding mechanisms
Albania,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,N,Y,N/A,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,N,,Y,N,Y,N,Y,Y,Y,,Y,Y
Algeria,,Y,Y,,Y,P,U,U,U,U,Y,Y,U,,U,Y,N,Y,Y,N,N,Y,,Y,Y,Y,Y,Y,,Y,Y,Y,N,,N,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
Angola,,Y,Y,,Y,P,N,U,U,U,Y,Y,U,,Y,N,Y,Y,Y,N,Y,Y,,Y,Y,N,Y,Y,,Y,N,N,N,,Y,Y,Y,Y,Y,N,Y,,Y,Y
Argentina,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,U,,U,Y,Y,Y,Y,Y,N/A,Y,,Y,N,Y,Y,Y,,Y,Y,Y,N,,Y,Y,N,N,Y,Y,Y,,N,Y
Armenia,,Y,Y,,N/A,N,Y,N,Y,N,Y,N,N,,Y,Y,N,N,N,N,Y,N,,Y,N,N,N,N,,Y,N,N,Y,,N,N/A,N/A,N/A,N/A,N/A,N/A,,N,N
Austria,,Y,Y,,Y,Y,Y,Y,Y,Y,Y,N,Y,,Y,Y,Y,Y,Y,Y,N/A,N/A,,Y,N/A,N,Y,Y,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,,N/A,N/A
Australia,,Y,Y,,Y,P,U,U,Y,Y,Y,Y,U,,Y,N/A,N/A,N/A,N/A,Y,N/A,Y,,Y,Y,U,Y,Y,,Y,N,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N,,N,Y
Azerbaijan,,N,Y,,Y,Y,Y,Y,Y,N,Y,Y,N,,U,N/A,N/A,N/A,N/A,N,N/A,N,,N,Y,N,P,Y,,Y,Y,Y,N,,N,N/A,N/A,N/A,N/A,N/A,N,,N,N
Bahrain,,Y,Y,,Y,P,Y,U,Y,N,N,Y,N,,Y,N/A,N/A,N/A,N/A,Y,N/A,N,,Y,N,Y,Y,Y,,Y,N,N,N,,Y,N,Y,N,N,Y,Y,,Y,N
Belarus,,N,Y,,Y,Y,Y,Y,Y,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N,N,Y,,Y,N,Y,N,Y,,Y,Y,Y,N,,Y,N/A,N/A,N/A,N/A,N/A,N/A,,Y,Y
