question_number,question_text,type,question_description,question_short_name,question_long_description,section_number
A.1,Country,Closed,,,,A
A.2,Name of organization(s) or entity(s) responsible for the preparation of the report,Open,,,,A
A.3,Website of organization(s) or entity(s) responsible for the preparation of the report,Open,,,,A
A.11,Brief description of the consultation process established for the preparation of the report,Open,,,,A
A.15,Sector of other organization(s) or entity(ies) (including non-governmental) consulted for completing this survey,Closed,,,,A
1.1,Has the 2021 UNESCO Recommendation on Open Science been promoted and/or shared with appropriate ministries and institutions as well as affiliated organizations in your country?,Closed,The UNESCO Recommendation on Open Science has been promoted and/or shared with appropriate ministries and institutions as well as affiliated organisations in the country,UNESCO Recommendation promoted/shared,,1
1.2.1,"If yes, which language(s)?",Open,,,,1
1.3,"Have there been awareness raising activities on open science, including all its key elements, associated benefits and challenges, organized or foreseen to be organized by the end of 2025 in your country by national authorities or entities?",Closed,"Awareness raising activities on open science, including all its key elements, associated benefits and challenges, have been organised or foreseen to be organised by the end of 2025 by national authorities or entities",Awareness-raising activities,,1
1.3.1,"If yes, please provide details on the activities organized or foreseen and links as relevant.",Open,,,,1
1.4,"Have specific actions been undertaken or are planned to be undertaken by end of 2025 in your country to incorporate the values and principles of open science, in publicly funded research?",Open,,Challenges in undertaking specific actions to incorporate the values and principles of OS,,1
1.4.1,"If yes, please indicate the actions that are taken to incorporate the specific values and principles. For each case, please provide details and links as relevant.",Open,,,,1
1.4.2,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,1
2.1,"Does your country have a national policy, strategy or plan of action on science, technology and innovation (STI)?",Closed,,Open science in a national STI policy,,2
2.1.1,"If yes, please share a machine-readable PDF file of the policy and provide information",Closed,,,,2
2.1.2,If yes: does it include any of the following open science elements,Open,"Availability of a national science, technology and innovation (STI) policy, strategy or plan of action that includes an open science element(s)",Open science in a national STI policy,Countries reported additional details on the inclusion of the following specific open science elements in their national STI policy: - open access to scientific knowledge; - open science infrastructure; - open engagement of societal actors; - open dialogue with other knowledge systems,2
2.1.3,"If no, please, if possible, briefly explain the reason and the difficulties or obstacles in this area and indicate if there are plans to do so.",Open,,,,2
