country_iso_code,question_number,answer
ALB,1.1,Y
ALB,1.3,Y
ALB,2.1.1,Y
ALB,2.2,Y
ALB,2.3,Y
ALB,2.4,Y
ALB,2.5,Y
ALB,2.6,Y
ALB,2.7,Y
ALB,2.8,Y
ALB,2.9,N
ALB,3.4,Y
ALB,3.4.1,N
ALB,3.5,Y
ALB,3.5.1,
ALB,3.6,Y
ALB,4.1,Y
ALB,4.2,Y
ALB,4.3,Y
ALB,4.4,Y
ALB,4.5,Y
ALB,5.1,Y
ALB,5.2,Y
ALB,5.3,Y
ALB,5.4,N
ALB,6.1,Y
ALB,6.1.1,Y
ALB,7.2,Y
ALB,7.3,Y
ALB,8.1,N
DZA,1.1,Y
DZA,1.3,Y
DZA,2.1.1,Y
DZA,2.2,P
DZA,2.3,U
DZA,2.4,U
DZA,2.5,U
DZA,2.6,U
DZA,2.7,Y
DZA,2.8,Y
DZA,2.9,U
DZA,3.4,U
DZA,3.4.1,Y
DZA,3.5,N
DZA,3.5.1,
DZA,3.6,Y
DZA,4.1,Y
DZA,4.2,Y
DZA,4.3,Y
DZA,4.4,Y
DZA,4.5,Y
DZA,5.1,Y
DZA,5.2,Y
DZA,5.3,Y
DZA,5.4,N
DZA,6.1,N
DZA,6.1.1,N
DZA,7.2,Y
DZA,7.3,Y
DZA,8.1,N
AGO,1.1,Y
AGO,1.3,Y
AGO,2.1.1,Y
AGO,2.2,P
AGO,2.3,U
AGO,2.4,U
AGO,2.5,Y
AGO,2.6,N
AGO,2.7,Y
AGO,2.8,N
AGO,2.9,N
AGO,3.4,N
AGO,3.4.1,Y
AGO,3.5,N
AGO,3.5.1,Y
AGO,3.6,Y
AGO,4.1,Y
AGO,4.2,N
AGO,4.3,N
AGO,4.4,N
AGO,4.5,Y
AGO,5.1,Y
AGO,5.2,N
AGO,5.3,Y
AGO,5.4,Y
AGO,6.1,Y
AGO,6.1.1,Y
AGO,7.2,N
AGO,7.3,N
AGO,8.1,N
ARG,1.1,Y
ARG,1.3,Y
ARG,2.1.1,N
ARG,2.2,Y
ARG,2.3,Y
ARG,2.4,Y
ARG,2.5,Y
ARG,2.6,Y
ARG,2.7,Y
ARG,2.8,Y
ARG,2.9,U
ARG,3.4,U
ARG,3.4.1,Y
ARG,3.5,Y
ARG,3.5.1,
ARG,3.6,Y
ARG,4.1,Y
ARG,4.2,N
ARG,4.3,Y
ARG,4.4,Y
ARG,4.5,Y
ARG,5.1,Y
ARG,5.2,Y
ARG,5.3,Y
ARG,5.4,N
ARG,6.1,Y
ARG,6.1.1,Y
ARG,7.2,N
ARG,7.3,Y
ARG,8.1,N
ARM,1.1,Y
ARM,1.3,Y
ARM,2.1.1,X
ARM,2.2,N
ARM,2.3,Y
ARM,2.4,Y
ARM,2.5,Y
ARM,2.6,N
ARM,2.7,Y
ARM,2.8,N
ARM,2.9,N
ARM,3.4,Y
ARM,3.4.1,N
ARM,3.5,N
ARM,3.5.1,Y
ARM,3.6,N
ARM,4.1,Y
ARM,4.2,N
ARM,4.3,N
ARM,4.4,N
ARM,4.5,N
ARM,5.1,Y
ARM,5.2,N
ARM,5.3,N
ARM,5.4,Y
ARM,6.1,N
ARM,6.1.1,N
ARM,7.2,N
ARM,7.3,N
ARM,8.1,Y
AUS,1.1,Y
AUS,1.3,Y
AUS,2.1.1,Y
AUS,2.2,P
AUS,2.3,U
AUS,2.4,U
AUS,2.5,Y
AUS,2.6,Y
AUS,2.7,Y
AUS,2.8,Y
AUS,2.9,U
AUS,3.4,Y
AUS,3.4.1,N
AUS,3.5,Y
AUS,3.5.1,
AUS,3.6,Y
AUS,4.1,Y
AUS,4.2,Y
AUS,4.3,U
AUS,4.4,Y
AUS,4.5,Y
AUS,5.1,Y
AUS,5.2,N
AUS,5.3,Y
AUS,5.4,N
AUS,6.1,Y
AUS,6.1.1,N
AUS,7.2,P
AUS,7.3,Y
AUS,8.1,N
AZE,1.1,N
AZE,1.3,Y
AZE,2.1.1,N
AZE,2.2,Y
AZE,2.3,Y
AZE,2.4,Y
AZE,2.5,Y
